iter	Passed	Remaining
0	138	138219
1	139	69393
2	139	46495
3	140	35009
4	141	28095
5	141	23507
6	142	20211
7	143	17742
8	144	15868
9	145	14369
10	146	13153
11	147	12145
12	148	11265
13	148	10492
14	149	9838
15	150	9249
16	150	8729
17	151	8270
18	152	7856
19	152	7484
20	153	7150
21	154	6850
22	154	6577
23	155	6332
24	156	6103
25	157	5886
26	157	5682
27	158	5502
28	159	5342
29	160	5195
30	161	5053
31	162	4913
32	163	4779
33	163	4654
34	164	4536
35	165	4426
36	165	4319
37	166	4219
38	167	4121
39	167	4031
40	168	3944
41	169	3860
42	169	3779
43	170	3702
44	171	3630
45	171	3562
46	172	3493
47	173	3444
48	174	3394
49	176	3344
50	176	3293
51	177	3239
52	178	3187
53	179	3136
54	179	3087
55	180	3039
56	180	2993
57	181	2948
58	182	2904
59	182	2864
60	183	2827
61	184	2790
62	185	2752
63	185	2715
64	186	2679
65	186	2645
66	187	2611
67	188	2583
68	189	2555
69	190	2527
70	191	2499
71	191	2469
72	192	2440
73	192	2412
74	193	2385
75	194	2358
76	194	2333
77	195	2308
78	195	2283
79	196	2259
80	196	2234
81	197	2211
82	197	2185
83	198	2163
84	198	2141
85	199	2121
86	200	2100
87	200	2080
88	201	2060
89	202	2043
90	202	2027
91	204	2013
92	205	2001
93	206	1986
94	206	1970
95	207	1953
96	208	1937
97	208	1921
98	209	1904
99	209	1888
100	210	1873
101	211	1858
102	211	1843
103	212	1829
104	212	1814
105	213	1800
106	214	1786
107	214	1773
108	215	1759
109	215	1746
110	216	1733
111	217	1720
112	217	1707
113	218	1695
114	219	1687
115	220	1679
116	221	1668
117	221	1658
118	222	1648
119	223	1638
120	224	1628
121	224	1616
122	225	1606
123	225	1595
124	226	1585
125	227	1575
126	227	1564
127	228	1554
128	228	1544
129	229	1534
130	229	1525
131	230	1515
132	231	1506
133	231	1497
134	233	1493
135	234	1486
136	235	1481
137	236	1474
138	236	1466
139	237	1459
140	239	1457
141	240	1452
